"Mar-25","2.26%","0.19%"
"Feb-25","2.35%","0.19%"
"Jan-25","2.37%","0.20%"
"Dec-24","2.39%","0.20%"
"Nov-24","2.64%","0.22%"
"Oct-24","2.77%","0.23%"
"Sep-24","3.02%","0.25%"
"Aug-24","3.19%","0.26%"
"Jul-24","3.44%","0.28%"
"Jun-24","3.49%","0.29%"
"May-24","3.51%","0.29%"
"Apr-24","3.46%","0.28%"
"Mar-24","3.51%","0.29%"
"Feb-24","3.36%","0.28%"
"Jan-24","3.55%","0.29%"
"Dec-23","3.62%","0.30%"
"Nov-23","3.74%","0.31%"
"Oct-23","3.70%","0.30%"
"Sep-23","3.62%","0.30%"
"Aug-23","3.67%","0.30%"
"Jul-23","3.61%","0.30%"
"Jun-23","3.34%","0.27%"
"May-23","3.25%","0.27%"
"Apr-23","3.02%","0.25%"
"Mar-23","3.21%","0.26%"
"Feb-23","2.86%","0.24%"
"Jan-23","2.72%","0.22%"
"Dec-22","2.35%","0.19%"
"Nov-22","2.16%","0.18%"
"Oct-22","1.81%","0.15%"
"Sep-22","0.70%","0.06%"
"Aug-22","0.51%","0.04%"
"Jul-22","0.50%","0.04%"
"Jun-22","0.11%","0.01%"
"May-22","-0.23%","-0.02%"
"Apr-22","-0.50%","-0.04%"
"Mar-22","-0.62%","-0.05%"
"Feb-22","-0.62%","-0.05%"
"Jan-22","-0.65%","-0.05%"
"Dec-21","-0.73%","-0.06%"
"Nov-21","-0.66%","-0.05%"
"Oct-21","-0.65%","-0.05%"
"Sep-21","-0.65%","-0.05%"
"Aug-21","-0.64%","-0.05%"
"Jul-21","-0.65%","-0.05%"
"Jun-21","-0.65%","-0.05%"
"May-21","-0.62%","-0.05%"
"Apr-21","-0.62%","-0.05%"
"Mar-21","-0.61%","-0.05%"
"Feb-21","-0.63%","-0.05%"
"Jan-21","-0.65%","-0.05%"
"Dec-20","-0.63%","-0.05%"
"Nov-20","-0.62%","-0.05%"
"Oct-20","-0.59%","-0.05%"
"Sep-20","-0.56%","-0.05%"
"Aug-20","-0.56%","-0.05%"
"Jul-20","-0.53%","-0.04%"
"Jun-20","-0.50%","-0.04%"
"May-20","-0.44%","-0.04%"
"Apr-20","-0.56%","-0.05%"
"Mar-20","-0.61%","-0.05%"
"Feb-20","-0.57%","-0.05%"
"Jan-20","-0.59%","-0.05%"
"Dec-19","-0.58%","-0.05%"
"Nov-19","-0.61%","-0.05%"
"Oct-19","-0.63%","-0.05%"
"Sep-19","-0.74%","-0.06%"
"Aug-19","-0.64%","-0.05%"
"Jul-19","-0.59%","-0.05%"
"Jun-19","-0.56%","-0.05%"
"May-19","-0.55%","-0.05%"
"Apr-19","-0.52%","-0.04%"
"Mar-19","-0.52%","-0.04%"
"Feb-19","-0.53%","-0.04%"
"Jan-19","-0.58%","-0.05%"
"Dec-18","-0.58%","-0.05%"
"Nov-18","-0.61%","-0.05%"
"Oct-18","-0.54%","-0.05%"
"Sep-18","-0.54%","-0.05%"
"Aug-18","-0.55%","-0.05%"
"Jul-18","-0.56%","-0.05%"
"Jun-18","-0.56%","-0.05%"
"May-18","-0.55%","-0.05%"
"Apr-18","-0.56%","-0.05%"
"Mar-18","-0.56%","-0.05%"
"Feb-18","-0.54%","-0.05%"
"Jan-18","-0.61%","-0.05%"
